college_name,fees,established_on,courses_offered,class_timings,cutoff_marks,facilities,location_lat,location_lon
"Woods, Gardner and Rhodes College",34373,1956,M.Tech,9 AM - 4 PM,69,"Hostels, Research Centers, Cafeteria",27.378818106814936,88.44267610428247
Williams-Andrade College,240258,1987,"M.Tech, MBBS",8 AM - 6 PM,80,"Hostels, Labs, Cafeteria, Library, Gym",16.162370911314227,71.79624210751544
Thomas and Sons College,124927,1985,"M.Sc, B.Sc",10 AM - 6 PM,86,"Labs, Research Centers, Gym, Cafeteria",35.36315057798035,94.7896060661971
Ramirez LLC College,121809,1983,"B.Tech, BBA",8 AM - 3 PM,68,"Research Centers, Hostels, Library, Sports Complex",28.87694594463699,83.29358920666914
"Montoya, Hunter and Rogers College",157685,1972,M.Tech,8 AM - 6 PM,63,"Gym, Research Centers, Library",11.797503916346592,73.15793593350892
"Smith, Williams and Gould College",289091,1965,B.Tech,9 AM - 3 PM,92,"Sports Complex, Research Centers, Cafeteria, Library, Labs",30.708927806989454,83.860421988766
Francis-Freeman College,89735,1995,"MCA, MBBS, M.Sc",8 AM - 4 PM,72,"Gym, Sports Complex",27.443639866951607,90.17627962938867
Boyd Inc College,116538,1961,"MBA, M.Sc",10 AM - 6 PM,76,"Hostels, Gym, Library, Research Centers, Cafeteria",26.01889578779742,90.5676878289851
Johnson-Dunn College,61209,1986,BBA,9 AM - 3 PM,71,"Library, Cafeteria, Hostels",34.98651940517521,79.11810780985111
Mills-Taylor College,154959,2020,"BCA, MBA",10 AM - 4 PM,78,"Sports Complex, Research Centers, Cafeteria",9.517551457481073,92.4147555413986
Smith Ltd College,33118,2010,"Ph.D, B.Sc, BCA",10 AM - 3 PM,70,"Research Centers, Sports Complex",29.849906922697098,76.00813921400423
Schneider LLC College,286533,1988,"BCA, B.Sc",9 AM - 3 PM,93,"Gym, Library",9.02339725174859,90.76572965571718
"Norman, Garcia and Jones College",36464,1996,"Ph.D, BBA",9 AM - 5 PM,95,"Gym, Cafeteria, Research Centers",26.1138776341809,70.32387251955532
"Hoover, Henry and White College",46899,2007,"MCA, BCA, B.Tech",10 AM - 5 PM,63,"Research Centers, Hostels, Sports Complex",19.392210544947034,91.11043912951146
Young Ltd College,241773,1996,"B.Tech, BBA, MBA",8 AM - 3 PM,77,"Sports Complex, Gym",30.729380072083337,89.35045205869416
Young-Sanchez College,293276,2005,"BBA, B.Sc",9 AM - 4 PM,100,"Library, Labs",9.612939704056583,69.01001192406716
Salazar and Sons College,217590,1988,"BCA, B.Sc, MBA",10 AM - 6 PM,83,"Library, Hostels, Cafeteria",17.39039577506721,91.91583928956683
"Pratt, Washington and Scott College",85123,1950,M.Sc,8 AM - 3 PM,98,"Sports Complex, Library",26.50945946005825,89.96642893796955
Alvarez-Thompson College,135672,2016,"MBA, MBBS, Ph.D",9 AM - 5 PM,87,"Cafeteria, Research Centers",20.70022776165459,82.45489911564712
Meyer Inc College,112113,1955,MBA,9 AM - 5 PM,78,"Research Centers, Gym, Sports Complex, Hostels",23.14615943486459,71.0171510041956
"Wise, Estes and Krause College",265788,1999,"B.Sc, M.Tech, M.Sc",8 AM - 3 PM,79,"Library, Sports Complex, Cafeteria, Research Centers",35.512690421409914,78.14431353716262
Flores-Lawson College,137223,2016,"Ph.D, M.Sc, MCA",9 AM - 6 PM,98,"Sports Complex, Library, Cafeteria, Research Centers, Gym",11.025021340385969,90.00939984483156
Clay-Beck College,136368,1960,BBA,9 AM - 4 PM,65,"Gym, Hostels",35.44008617985607,95.83957801696923
White and Sons College,77065,1954,"MBA, BBA, M.Sc",8 AM - 4 PM,95,"Sports Complex, Gym, Labs, Hostels",22.650284298641726,89.30925051906642
Smith PLC College,216614,2007,"MBBS, BBA",10 AM - 6 PM,60,"Gym, Sports Complex",14.973074342949003,96.75067506019883
Perez LLC College,279888,2012,"MCA, BCA, M.Sc",10 AM - 6 PM,93,"Labs, Gym, Research Centers",21.744177963939258,75.95526826399426
Armstrong-Garza College,228115,2002,"BCA, B.Tech",8 AM - 6 PM,94,"Sports Complex, Gym",8.6342925231201,91.68314850485164
"Davis, Lewis and Hines College",238561,1991,"MBA, B.Tech",8 AM - 3 PM,61,"Cafeteria, Sports Complex, Labs, Gym, Hostels",27.193556548452722,77.05681724285496
"Fuentes, Matthews and Graham College",179360,1984,"M.Tech, MBBS, Ph.D",9 AM - 5 PM,90,"Sports Complex, Labs, Cafeteria, Library",24.58901277635308,75.37820339815777
Lynch-Roberts College,133173,1992,MBA,10 AM - 4 PM,68,"Sports Complex, Hostels, Research Centers, Cafeteria",24.57899301334119,90.52788256655398
Lyons-Johnson College,187737,2015,"B.Tech, M.Tech",10 AM - 5 PM,62,"Sports Complex, Research Centers",31.23164515694424,74.86008117512498
Hernandez-Andersen College,138958,1963,Ph.D,9 AM - 4 PM,83,"Labs, Cafeteria, Research Centers, Sports Complex, Gym",35.19413109198699,93.53856429763532
"Mays, Graham and Little College",106156,1998,B.Sc,8 AM - 4 PM,81,"Research Centers, Cafeteria",33.20647325734919,92.9444224437338
"Brown, Graham and Barrett College",182333,1960,BCA,8 AM - 6 PM,69,"Library, Sports Complex, Research Centers, Labs, Gym",24.078075798161333,70.13508400276983
Hayes LLC College,224328,1994,"MCA, Ph.D, MBA",9 AM - 4 PM,92,"Library, Research Centers, Cafeteria",29.81374066187774,69.0903841409847
"Velasquez, Wall and Knight College",62367,1978,"MCA, M.Tech",9 AM - 5 PM,87,"Labs, Gym, Hostels",9.007967541907563,91.37596594967816
Mack-Palmer College,207044,1987,"B.Sc, Ph.D, BBA",9 AM - 6 PM,98,"Sports Complex, Labs",30.370013301696893,84.01749299902976
Taylor-Santos College,102198,1969,"MBA, MBBS",9 AM - 3 PM,88,"Labs, Cafeteria, Gym",31.555995957343907,68.3293999489214
Torres and Sons College,98275,2010,Ph.D,10 AM - 3 PM,77,"Library, Labs, Cafeteria",29.6279261811169,83.2818617712515
Chavez-Carter College,74591,1994,MBBS,8 AM - 3 PM,68,"Gym, Cafeteria, Labs",14.122464953260224,78.29404937143678
Grimes-Hall College,41311,1968,BBA,8 AM - 5 PM,85,"Sports Complex, Cafeteria, Library, Gym, Labs",16.418602162916333,81.22124085363755
Greer LLC College,42124,1971,"M.Sc, Ph.D, BCA",10 AM - 5 PM,71,"Research Centers, Sports Complex",20.14850265061199,85.23639640212164
"Espinoza, Horne and Williams College",215202,1961,"BCA, M.Sc, BBA",8 AM - 5 PM,85,"Gym, Library",12.321701534178594,78.54815351504809
Arias-Robertson College,98732,1978,"M.Sc, MBA",10 AM - 4 PM,93,"Cafeteria, Research Centers, Hostels, Gym",14.639477460216899,76.7326656834617
"Martinez, Hall and Nelson College",139980,2000,"B.Tech, M.Tech, BBA",10 AM - 3 PM,100,"Hostels, Research Centers, Library, Cafeteria",32.321107554935224,81.0078570577861
Werner Ltd College,57985,1959,"M.Sc, BCA, MBBS",9 AM - 5 PM,61,"Sports Complex, Labs, Hostels, Library",26.104153419788922,85.55498607341782
Reynolds-Moore College,159010,1989,"M.Sc, MBA, MCA",8 AM - 4 PM,76,"Sports Complex, Hostels",12.760763870700524,74.85131319024809
Olson PLC College,263628,1955,"BBA, M.Tech",9 AM - 3 PM,83,"Cafeteria, Sports Complex, Library, Hostels, Gym",27.45822015243988,76.32868127149936
Black-Riggs College,191397,1989,M.Sc,10 AM - 6 PM,85,"Research Centers, Gym, Library, Cafeteria, Sports Complex",10.37661544038847,93.39579015938095
Fitzgerald-Hill College,281999,2010,"B.Sc, M.Sc, M.Tech",10 AM - 4 PM,66,"Gym, Cafeteria, Labs",12.846650202961865,74.9673039863967
Hunter LLC College,102039,1953,"MBBS, BBA, MCA",10 AM - 6 PM,67,"Cafeteria, Labs, Sports Complex, Hostels",33.79506003030451,93.79789944177779
Bell-Hanson College,164779,2020,"MCA, BCA, M.Sc",10 AM - 5 PM,85,"Research Centers, Hostels, Gym",13.228178993369319,71.9207612208387
Jenkins and Sons College,288059,1955,"B.Tech, B.Sc, M.Tech",9 AM - 6 PM,92,"Library, Hostels, Research Centers, Gym",30.542803234735768,73.86932121007715
"Alvarez, Solis and Tyler College",95963,1971,"MBA, BBA, Ph.D",10 AM - 3 PM,64,"Sports Complex, Research Centers, Library",20.00762676273319,79.37410946785793
Price LLC College,59000,1994,"MBBS, BCA, B.Tech",8 AM - 6 PM,92,"Sports Complex, Library, Hostels, Research Centers, Labs",34.79432889018193,91.68732574727954
"Miller, Duke and Powell College",51131,1971,BBA,8 AM - 5 PM,90,"Cafeteria, Hostels, Labs, Library",14.718968027561356,73.4915107716839
"Key, Espinoza and Fuller College",140404,1988,B.Sc,10 AM - 3 PM,100,"Research Centers, Sports Complex, Library, Hostels",25.42565726894409,92.68616445482702
Lopez-House College,169706,1997,"B.Sc, MCA",9 AM - 3 PM,65,"Hostels, Labs, Gym",26.32532529300731,84.26901986885089
"Martinez, Robbins and Yates College",274966,1959,B.Sc,10 AM - 3 PM,90,"Labs, Gym, Cafeteria",17.851837965746007,73.8317618672224
"Stone, Floyd and Hudson College",59146,1954,B.Tech,9 AM - 4 PM,76,"Library, Cafeteria, Hostels, Labs",21.688113058410742,76.2498078432866
Williams and Sons College,290767,1971,"BCA, BBA",8 AM - 4 PM,65,"Hostels, Gym",20.487907818356057,83.96260703608624
Campbell-Reynolds College,31854,2001,"M.Sc, BCA, B.Tech",9 AM - 4 PM,85,"Gym, Sports Complex, Labs",29.314898057955354,83.00550169961373
Solomon Ltd College,285534,1978,"Ph.D, MBA, M.Sc",8 AM - 5 PM,69,"Library, Cafeteria",36.92482363029971,81.59267045757349
"Hall, Baker and Cantrell College",57344,1971,"BBA, MBBS, BCA",9 AM - 4 PM,80,"Cafeteria, Hostels",31.819099402673658,87.71821370407201
Freeman Inc College,58285,2017,"MCA, MBA",9 AM - 5 PM,66,"Sports Complex, Library, Cafeteria, Research Centers, Labs",23.61689158643476,95.07293590450514
"Anderson, Ramos and Mccann College",227563,1972,B.Tech,10 AM - 4 PM,66,"Sports Complex, Library, Cafeteria",31.347100012426022,75.93942496562804
Pearson and Sons College,186010,1960,"B.Tech, Ph.D, BBA",9 AM - 3 PM,86,"Library, Hostels, Sports Complex, Labs, Cafeteria",27.365580358494906,79.09706424899142
"Welch, Thomas and Fuentes College",233781,1951,"MBA, Ph.D",9 AM - 6 PM,71,"Hostels, Cafeteria",19.237879459625216,86.09419424029572
Russell LLC College,163102,1965,"Ph.D, MBBS",8 AM - 4 PM,89,"Sports Complex, Hostels, Gym, Labs, Library",13.38282713528992,87.2206693579314
"Shannon, Nichols and Smith College",157211,1967,"MBA, MBBS, BCA",8 AM - 6 PM,67,"Labs, Research Centers, Sports Complex",25.390436655079792,80.54150392991504
"Boyd, Stewart and Kirby College",172234,1951,"MCA, M.Tech, B.Tech",9 AM - 6 PM,61,"Sports Complex, Hostels",26.236838324367255,81.4075724500825
"Stanley, Curtis and Pacheco College",70023,2017,"BCA, M.Tech",9 AM - 4 PM,77,"Labs, Gym, Hostels, Sports Complex, Cafeteria",23.22904029150171,86.82427741479454
Alexander-Hess College,188535,1962,"Ph.D, MCA",8 AM - 6 PM,64,"Research Centers, Library, Labs",27.126254110550807,87.70761000947468
"Perry, Price and Thompson College",127077,1970,MBBS,8 AM - 4 PM,93,"Sports Complex, Hostels, Labs",36.893972101587494,86.68396014810175
Murphy-Ross College,42863,1955,"BCA, M.Tech, BBA",8 AM - 4 PM,74,"Library, Sports Complex, Hostels, Cafeteria",28.063689298051656,93.15505444099324
Cox-Cohen College,129767,1957,"B.Sc, B.Tech",9 AM - 5 PM,72,"Sports Complex, Research Centers, Labs, Hostels",25.98001855665355,96.12384336340187
"Clark, Lara and Hughes College",288254,1986,B.Tech,10 AM - 4 PM,83,"Gym, Library, Research Centers",27.684890994305306,84.45097871012143
"Deleon, Gonzales and Stout College",293888,1991,"MBA, B.Tech, BCA",9 AM - 6 PM,68,"Hostels, Sports Complex, Cafeteria",18.45647255461846,79.72718809379866
Allen-Harrison College,104811,1986,"M.Tech, BCA, BBA",10 AM - 3 PM,67,"Cafeteria, Sports Complex",36.536469190840144,86.71076523076741
Bryant Ltd College,188136,1961,MCA,10 AM - 5 PM,77,"Library, Hostels",17.250305208689504,78.82752366282736
Anderson-Wright College,164287,1993,BCA,9 AM - 3 PM,83,"Hostels, Library, Sports Complex, Research Centers",23.48130571878182,94.95072994074233
"Rhodes, Baker and Davis College",125420,1964,"MBA, MBBS, BBA",9 AM - 5 PM,98,"Library, Cafeteria",34.189742149254215,74.01204088418535
Allen-Nguyen College,100379,1977,"B.Tech, MBA, M.Sc",9 AM - 3 PM,99,"Research Centers, Cafeteria",15.141119206313704,87.53603960531422
"Johnson, Trujillo and Taylor College",98173,1971,"BCA, BBA",8 AM - 6 PM,64,"Library, Cafeteria, Research Centers, Gym",16.6945830962648,95.93478055513933
Massey-Garcia College,239913,2007,"M.Tech, MBBS, M.Sc",10 AM - 5 PM,60,"Research Centers, Sports Complex, Labs",33.87921157540406,96.75553529310474
"Carter, Thomas and Nunez College",55158,1987,"Ph.D, MBBS",10 AM - 4 PM,89,"Cafeteria, Research Centers",26.573535611059665,88.44595799236245
James LLC College,199639,1962,M.Tech,9 AM - 3 PM,60,"Research Centers, Gym, Sports Complex",8.251390556788914,72.46954314951182
Montoya-Mitchell College,171383,1951,"B.Tech, MBBS, B.Sc",9 AM - 4 PM,91,"Labs, Gym, Library",8.527489659327466,76.31466036049592
Daniels-Martinez College,69957,2020,"M.Sc, MCA",10 AM - 3 PM,78,"Research Centers, Sports Complex, Hostels",13.858877839031383,71.2322692174582
Bailey-Bailey College,57708,1960,"MBA, B.Tech",8 AM - 6 PM,81,"Hostels, Cafeteria, Sports Complex",15.521853359874813,86.38820089088094
Cabrera-Huff College,136619,2013,"Ph.D, M.Sc, MCA",10 AM - 6 PM,100,"Hostels, Cafeteria, Labs",28.996715338879667,77.70461327090904
Chavez and Sons College,101749,1957,"B.Sc, B.Tech, BCA",8 AM - 5 PM,90,"Labs, Gym, Sports Complex",34.205835616725565,86.55371182305124
"Larsen, Coffey and Kim College",112475,1989,"MBA, M.Tech, BCA",10 AM - 6 PM,62,"Library, Gym, Cafeteria",18.39335551135305,89.55735164350956
Johnson-Smith College,296895,1964,"B.Sc, BCA",9 AM - 5 PM,75,"Labs, Cafeteria, Research Centers",19.55322277053078,94.84477081283087
"Hebert, Estrada and Hughes College",113975,1981,"B.Tech, M.Sc",9 AM - 5 PM,91,"Research Centers, Labs, Gym, Cafeteria",26.95074538248188,71.13081324423071
"Jackson, Hood and Mason College",176613,1966,"MBA, BBA",9 AM - 3 PM,60,"Gym, Research Centers, Hostels, Sports Complex",17.634004646679788,92.15151710980112
"Robinson, Boyd and Noble College",290450,1964,B.Tech,9 AM - 5 PM,63,"Library, Gym, Labs, Sports Complex, Hostels",22.131399117524143,85.05258907195699
Martinez LLC College,297899,1985,"BBA, MBA",10 AM - 6 PM,64,"Cafeteria, Library, Sports Complex, Research Centers, Gym",36.81630188716774,74.95165862192243
Miller-Martinez College,236637,1981,"MCA, B.Tech",8 AM - 4 PM,78,"Cafeteria, Research Centers, Gym, Sports Complex, Library",23.608435920668796,79.25199075367294
Knight and Sons College,120158,1981,"M.Tech, B.Tech, Ph.D",9 AM - 6 PM,60,"Sports Complex, Hostels, Labs, Library",32.29520263907112,87.47865358999307
Tate-Turner College,238085,1988,Ph.D,10 AM - 3 PM,96,"Gym, Hostels, Library",10.720978441134521,90.59585103259934
"Villa, Matthews and Jones College",254353,1958,"B.Tech, BBA, M.Tech",10 AM - 3 PM,89,"Hostels, Cafeteria, Library",9.7289630027801,69.06394394345821
Boyer PLC College,160874,1954,"BCA, MBBS, Ph.D",10 AM - 3 PM,60,"Cafeteria, Hostels, Labs, Research Centers, Sports Complex",28.147646254722407,85.1057410172141
Velasquez and Sons College,253838,2006,"M.Tech, M.Sc, MBBS",8 AM - 6 PM,79,"Sports Complex, Library, Gym",22.12899836221334,82.90924183216255
Oconnor-Huang College,296145,2013,"M.Sc, BBA, B.Tech",9 AM - 3 PM,83,"Cafeteria, Research Centers, Sports Complex, Gym",31.09651590205445,87.2270242684431
Chang Inc College,161244,1965,"MBBS, MBA",10 AM - 3 PM,88,"Gym, Cafeteria, Sports Complex, Library",17.144027727403746,75.025123614509
"Hunter, Acevedo and Gibson College",266756,1983,"MCA, Ph.D",8 AM - 5 PM,89,"Sports Complex, Research Centers, Hostels, Library",15.65835096280593,71.49765475375779
"Keller, Campbell and Cross College",38071,1965,"MCA, B.Tech, Ph.D",9 AM - 6 PM,100,"Labs, Cafeteria, Gym, Hostels, Library",26.360071650428253,72.9241007802908
"Walton, Morton and Hart College",40301,1965,"M.Tech, MCA",10 AM - 4 PM,91,"Hostels, Labs, Gym",9.722574894935867,72.19527181808408
Sparks Ltd College,211430,1969,"BCA, MCA, M.Sc",10 AM - 3 PM,74,"Research Centers, Cafeteria",11.608255389425931,81.22192523212061
Moon-Brown College,196775,1955,B.Sc,8 AM - 4 PM,62,"Cafeteria, Research Centers, Library",19.53924406994895,96.62525020378325
Brewer-Hudson College,168996,1983,Ph.D,9 AM - 6 PM,72,"Cafeteria, Sports Complex, Library, Hostels",17.034856705939006,85.29212971034504
"Wood, Wagner and Lopez College",82216,1954,BBA,9 AM - 4 PM,96,"Labs, Library, Sports Complex, Gym, Hostels",28.237763448574373,95.61675058823198
Taylor Ltd College,207753,1994,B.Tech,9 AM - 4 PM,91,"Gym, Library, Hostels, Research Centers, Sports Complex",14.481021179189343,93.1327540877789
"Lee, Frederick and Jackson College",234902,1962,B.Sc,10 AM - 5 PM,84,"Cafeteria, Labs, Sports Complex, Gym, Hostels",26.151806073964572,77.56494727102881
Garcia Ltd College,98820,1954,M.Tech,10 AM - 3 PM,73,"Gym, Cafeteria, Labs",20.381815281168862,80.56857659221774
Williams PLC College,150559,1952,"B.Sc, B.Tech, M.Sc",8 AM - 4 PM,94,"Hostels, Labs, Sports Complex, Cafeteria",10.261069531354883,94.88082819771438
"Mcmillan, Robinson and Harvey College",180601,2015,"MCA, MBA, BCA",9 AM - 6 PM,73,"Library, Research Centers, Gym",32.09456282140958,90.08149513778237
Jones and Sons College,82658,1991,"M.Tech, MCA, B.Tech",9 AM - 3 PM,79,"Research Centers, Hostels, Library, Labs, Gym",25.81979165329272,82.2949336235478
"Mann, Thompson and Diaz College",139447,2007,BCA,10 AM - 3 PM,86,"Gym, Hostels",18.65683272097086,91.7921424643975
Reyes LLC College,118038,1970,"MBBS, MBA, M.Tech",10 AM - 4 PM,96,"Cafeteria, Library",13.499503821880765,76.46984931353897
"Smith, Strong and Whitney College",260750,1973,MBBS,10 AM - 5 PM,74,"Hostels, Sports Complex, Library, Labs, Gym",34.75439254373066,90.22172782004574
"Grimes, Flynn and Guzman College",209069,2007,MCA,8 AM - 5 PM,66,"Library, Cafeteria, Sports Complex, Gym, Research Centers",11.157050142722316,88.94606664590869
Carrillo-Williams College,226060,2014,"M.Sc, MCA",9 AM - 5 PM,65,"Gym, Cafeteria, Library",26.509462091938875,72.4720264880646
Evans-Nixon College,182721,1987,"Ph.D, M.Tech",10 AM - 3 PM,80,"Sports Complex, Labs, Cafeteria",16.944602738106713,81.41189119287577
Byrd-Pearson College,22188,2008,M.Tech,10 AM - 4 PM,62,"Research Centers, Hostels, Sports Complex",17.43478646208314,80.584995796975
Booth-Salazar College,176479,1999,"MBA, B.Sc",8 AM - 4 PM,78,"Labs, Gym, Research Centers, Sports Complex, Library",13.07399400562764,81.24032178410386
"Savage, Wolf and Wright College",191642,1987,"Ph.D, MBBS, BCA",10 AM - 5 PM,96,"Cafeteria, Labs, Sports Complex",26.119783568873963,73.10872553052253
"Bolton, Christian and Frederick College",116244,2008,"BBA, B.Tech",9 AM - 6 PM,67,"Library, Gym",17.531532650475796,74.73734172208344
Mendoza and Sons College,106272,1960,"MCA, M.Tech, B.Sc",9 AM - 3 PM,68,"Labs, Sports Complex, Library, Cafeteria",15.052379759523223,88.07777905143848
Davis-Turner College,253962,2015,"MBA, MCA",8 AM - 5 PM,90,"Sports Complex, Gym, Hostels",12.830705449023732,71.12061815771884
Jefferson Ltd College,186003,1975,M.Sc,8 AM - 4 PM,72,"Hostels, Labs, Research Centers, Cafeteria, Library",34.61685557970944,89.7046826741292
Richard LLC College,253160,1965,BBA,8 AM - 3 PM,75,"Research Centers, Hostels, Labs, Gym",30.51619723595607,70.45428853880189
Dickerson-Garcia College,28016,1961,"M.Tech, MBBS, MBA",10 AM - 4 PM,99,"Gym, Library, Research Centers",24.089360854536174,75.57770616943951
Smith-Garcia College,99989,2008,"BBA, B.Sc, M.Sc",9 AM - 5 PM,72,"Sports Complex, Cafeteria, Gym",16.925915486484627,89.47605055794324
"Short, Johnston and Jones College",27788,2008,"BBA, MCA",10 AM - 4 PM,94,"Cafeteria, Labs, Library",10.898822252859155,80.12416823804861
Crane-Dunlap College,291703,2019,"Ph.D, B.Tech",8 AM - 6 PM,60,"Hostels, Gym",34.92848111089771,87.78613332761435
Page-Thomas College,234856,1969,"B.Tech, M.Tech, MBBS",10 AM - 5 PM,89,"Research Centers, Hostels, Cafeteria",32.42977524938777,91.55171286759199
Dixon Group College,38675,1962,"MCA, B.Sc, MBBS",8 AM - 5 PM,100,"Cafeteria, Gym, Library, Hostels",27.878594507693013,88.11482030934405
Howe PLC College,42563,1963,Ph.D,9 AM - 5 PM,88,"Library, Research Centers, Labs, Gym, Hostels",17.8521170532223,75.37655843749589
Edwards and Sons College,257938,1954,"Ph.D, M.Sc, M.Tech",8 AM - 6 PM,78,"Research Centers, Cafeteria, Library, Sports Complex, Gym",24.337558522415897,75.25671665001887
Williams-Baldwin College,57213,2015,"BCA, MBA, BBA",9 AM - 5 PM,62,"Labs, Sports Complex, Library, Research Centers, Gym",23.973714324339888,84.15439416454808
Vega-Smith College,269026,1972,"BCA, MBA, B.Sc",8 AM - 5 PM,77,"Hostels, Sports Complex",31.10420009568064,96.9496801491008
Dennis-Lopez College,194789,1973,"Ph.D, M.Tech",9 AM - 6 PM,76,"Cafeteria, Labs, Library, Hostels",11.340006559789936,95.3720463669622
"Wallace, Martinez and Roberts College",168956,2002,M.Tech,10 AM - 4 PM,75,"Cafeteria, Library, Hostels",32.826145313986146,84.40496141634523
Hines Ltd College,280981,2015,"BCA, MCA",8 AM - 4 PM,71,"Library, Labs",36.19667252515155,68.52829323494127
"Williams, Moss and Abbott College",194771,1958,"M.Tech, MBBS",10 AM - 4 PM,87,"Library, Labs, Sports Complex, Cafeteria, Gym",20.086355981067832,89.2087046674865
"Blair, Gonzalez and Galvan College",58485,1999,"MBBS, BBA",9 AM - 3 PM,70,"Hostels, Library, Labs",13.354292449147167,84.80971179222172
Ross-Baker College,218685,1999,"MBA, BCA, BBA",8 AM - 4 PM,80,"Sports Complex, Gym, Cafeteria",27.110339225911417,81.598885440297
Byrd Ltd College,194987,1955,"MBBS, BBA",9 AM - 6 PM,92,"Sports Complex, Research Centers, Library, Labs, Cafeteria",10.520588677224787,71.48797187309655
Odom Ltd College,68532,2014,"B.Tech, M.Sc",8 AM - 5 PM,82,"Research Centers, Hostels, Labs",14.61800402978584,92.35303498512235
"Manning, Lynch and Russell College",152453,1990,MCA,9 AM - 4 PM,60,"Library, Cafeteria, Sports Complex, Research Centers",25.417538950159162,79.24050833777545
Hill Inc College,291364,1982,MBBS,8 AM - 4 PM,79,"Library, Sports Complex, Gym, Cafeteria, Labs",35.14205328761662,72.08950386907338
Jones-Mcdowell College,245512,1973,"M.Sc, BCA",8 AM - 3 PM,75,"Sports Complex, Cafeteria, Labs, Gym",35.89059059729681,92.5950124731485
"Strong, Hall and Floyd College",139378,2009,M.Tech,8 AM - 5 PM,60,"Research Centers, Sports Complex, Library, Hostels",16.51088205438922,94.46629936081086
Gonzalez PLC College,60918,1955,"Ph.D, BBA, B.Sc",10 AM - 6 PM,94,"Gym, Sports Complex, Research Centers",35.721107180131014,96.09180213497712
Galvan-Cook College,282126,2003,"MCA, MBA, BCA",8 AM - 6 PM,63,"Cafeteria, Labs, Sports Complex, Gym",8.381102045815764,84.35416920562633
Jarvis-Haas College,143455,1987,"MBA, MCA, Ph.D",10 AM - 5 PM,88,"Library, Labs",26.384344176879548,77.00399997103156
Burton-Fox College,213518,1956,"MCA, M.Sc, BBA",9 AM - 3 PM,99,"Sports Complex, Cafeteria, Hostels, Gym, Library",27.356621000756572,96.09686925229016
"Bonilla, Payne and Sullivan College",115173,1963,"Ph.D, BCA",10 AM - 3 PM,83,"Cafeteria, Labs, Gym, Research Centers, Sports Complex",29.09062796408594,77.72878042934781
Hoover-Gross College,132230,1950,"BBA, MBA, B.Tech",10 AM - 4 PM,66,"Labs, Hostels",12.79500927875997,82.54076853435554
Harrison-Clark College,221353,2011,B.Sc,8 AM - 4 PM,90,"Research Centers, Sports Complex",35.27013594490332,75.92238017303798
Johnson-Harrington College,180366,2013,B.Tech,10 AM - 5 PM,84,"Cafeteria, Labs, Gym",9.370635574342344,77.61781838942792
Webb LLC College,45270,2017,"Ph.D, MCA",10 AM - 3 PM,94,"Gym, Hostels, Labs, Research Centers",9.018348786825321,78.82459334473609
"Greene, Haney and Moore College",204718,1996,"M.Tech, B.Sc",8 AM - 3 PM,81,"Library, Sports Complex, Cafeteria",32.55866941767471,92.19130651490995
Morales LLC College,214863,1958,"B.Sc, MBA",8 AM - 4 PM,78,"Sports Complex, Gym, Research Centers",8.578350966331978,79.98100571263373
"Chapman, Nelson and Rodriguez College",149639,2019,B.Tech,8 AM - 5 PM,67,"Gym, Research Centers, Cafeteria",28.57726994122301,79.77973437572066
Elliott Group College,239690,2005,"MCA, M.Tech",8 AM - 3 PM,60,"Cafeteria, Gym",25.610124982819702,82.5019193807591
Atkinson-Stephens College,187758,2018,"M.Sc, MBA",9 AM - 4 PM,68,"Hostels, Gym, Labs",21.91008358011898,69.83358523457665
Welch-Larsen College,21313,1959,MBA,9 AM - 3 PM,91,"Library, Cafeteria",19.467090123086855,73.99007259200938
Weiss-Stephens College,56875,1976,"MCA, M.Tech",10 AM - 4 PM,61,"Library, Research Centers, Hostels, Labs, Cafeteria",30.029698550966643,91.264150813037
Rios and Sons College,137860,1975,"MBBS, BBA, B.Sc",9 AM - 3 PM,84,"Sports Complex, Library",18.032213316211486,81.74733816528541
Boyd Ltd College,58137,1984,"B.Sc, B.Tech, M.Sc",8 AM - 4 PM,78,"Labs, Library, Research Centers",8.424969115226684,92.02144171302854
Bates-Jensen College,169248,1956,"BBA, M.Tech",8 AM - 4 PM,63,"Library, Hostels",34.90161479864902,80.04788898779162
Thompson Inc College,20711,1966,"MCA, B.Tech, B.Sc",8 AM - 4 PM,67,"Cafeteria, Hostels",26.728810201568916,96.32509761316095
"Aguilar, Lewis and Barr College",172728,1951,"MBA, M.Sc, M.Tech",9 AM - 5 PM,60,"Sports Complex, Gym, Labs, Cafeteria",16.25295059308537,95.59358056385334
Powell Inc College,148270,2008,"M.Sc, MBBS, MCA",8 AM - 6 PM,60,"Cafeteria, Sports Complex",33.97514518071929,93.20188263243868
Farmer Ltd College,111597,1980,"B.Tech, MBBS",10 AM - 3 PM,100,"Hostels, Cafeteria, Library",14.854255954910812,69.89883139405913
Brown-Smith College,68702,1981,"BCA, MBA",9 AM - 6 PM,88,"Sports Complex, Gym",32.30656339879481,68.31455252927447
"Bailey, White and Klein College",48519,1998,"B.Sc, MBA",9 AM - 5 PM,63,"Research Centers, Gym, Sports Complex, Hostels",11.210498728580287,70.14842397918697
Hamilton-Randall College,225957,1983,"BCA, MCA, MBA",10 AM - 3 PM,82,"Research Centers, Library, Cafeteria, Sports Complex, Gym",30.778286350180814,93.20791302651931
